Player,FPTS,AVG,ADP,GP,OFF,B2B,G,AST,PTS,SOG,PIM,HIT,BLK
Dougie Hamilton (NJ - D),498,6.2,125.18,80,24,13,11,28,39,222,47,82,90
Sam Bennett (FLA - C),497,6.1,139.69,82,30,14,24,29,53,211,88,133,43
"William Eklund (OTT - LW,RW)",496,6,149.37,82,28,14,20,39,59,193,30,67,48
Thomas Chabot (OTT - D),496,6.1,133.48,81,28,14,8,31,39,161,30,56,143
Kyle Palmieri (NYI - RW),495,6,Undrafted,82,25,13,27,29,56,191,23,60,37
"Alex Laferriere (LA - RW,LW,C)",494,6,153.98,82,28,10,21,24,45,211,23,222,48
Matthew Beniers (SEA - C),494,6,210.46,82,27,13,22,34,56,154,20,37,67
"Tyson Foerster (PHI - LW,RW)",494,6,153.44,82,30,12,27,22,49,182,47,81,64
"Cole Perfetti (WPG - RW,LW)",493,6,Undrafted,82,29,9,21,34,55,177,23,66,44
Josh Doan (BUF - RW),491,6.1,152.45,81,27,14,24,31,55,177,23,78,30
Gavin McKenna (TOR - LW),489,6,104.16,82,26,11,22,38,60,174,37,18,26
"Bobby McMann (SEA - LW,RW)",488,6,152.67,82,27,13,28,21,49,208,39,156,27
Shane Pinto (OTT - C),488,6.1,227.92,80,28,14,24,26,50,176,36,95,58
"John-Jason Peterka (BOS - LW,RW)",485,5.9,154.58,82,26,14,27,30,57,182,25,20,17
Jordan Eberle (SEA - RW),481,5.9,222.21,82,27,13,25,28,53,169,26,45,39
Ryan Leonard (WSH - RW),479,5.8,151.09,82,33,14,25,28,53,171,50,146,29
Anton Lundell (FLA - C),478,5.8,Undrafted,82,30,14,18,29,47,169,39,102,48
"Ryan Nugent-Hopkins (EDM - LW,C)",473,5.8,150.74,81,31,11,14,42,56,152,23,27,36
"Ryan Hartman (MIN - C,RW)",473,5.8,201.67,82,24,10,20,24,44,192,68,71,80
Ivan Barbashev (VGS - LW),470,5.7,155.15,82,28,8,23,34,57,132,18,131,37
William Karlsson (VGS - C),470,5.9,Undrafted,80,28,8,19,22,41,153,18,30,62
Sam Malinski (COL - D),469,5.7,157.83,82,34,10,9,26,35,174,20,50,100
Zachary Benson (BUF - LW),469,5.9,162.63,80,27,14,17,38,55,154,53,51,30
Matthew Coronato (CGY - RW),468,5.8,217.9,81,24,8,24,27,51,201,30,29,27
Carter Verhaeghe (FLA - LW),463,5.6,141.31,82,30,14,22,30,52,203,36,68,24
